0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
46.56666666666666,47.5,48.4,47.666666666666664,47.46666666666667,46.86666666666667,48.36666666666667,47.1,48.93333333333333,46.266666666666666,46.1,45.93333333333333,49.63333333333333,46.733333333333334,46.96666666666667,46.733333333333334,47.0,47.766666666666666,45.766666666666666,46.4,46.7,42.9,44.333333333333336,44.3,45.4,44.96666666666667,47.8,47.06666666666666,44.96666666666667,43.7,41.4,44.43333333333333,45.5,46.63333333333333,48.0,44.63333333333333,41.43333333333333,41.833333333333336,42.96666666666667,47.0
46.03333333333333,46.36666666666667,45.4,47.333333333333336,46.7,45.266666666666666,44.3,45.4,42.96666666666667,46.833333333333336,46.733333333333334,45.5,45.93333333333333,52.06666666666666,46.0,44.9,44.03333333333333,42.56666666666666,44.56666666666666,45.166666666666664,43.56666666666666,45.63333333333333,44.13333333333333,43.833333333333336,44.06666666666666,41.93333333333333,41.43333333333333,43.0,45.8,45.266666666666666,42.166666666666664,43.53333333333333,43.5,46.1,46.833333333333336,45.4,42.96666666666667,46.1,45.96666666666667,43.666666666666664
44.2,45.36666666666667,45.63333333333333,48.86666666666667,43.96666666666667,43.4,41.3,43.166666666666664,45.36666666666667,46.7,43.93333333333333,44.6,44.63333333333333,47.56666666666666,43.666666666666664,44.833333333333336,45.0,47.43333333333333,48.56666666666666,47.56666666666666,43.166666666666664,42.833333333333336,42.03333333333333,42.53333333333333,45.266666666666666,44.833333333333336,41.333333333333336,44.2,44.6,42.766666666666666,42.733333333333334,39.0,42.03333333333333,46.36666666666667,43.833333333333336,45.13333333333333,43.93333333333333,42.833333333333336,42.43333333333333,44.4
41.8,46.233333333333334,45.1,47.0,46.833333333333336,45.53333333333333,47.266666666666666,45.36666666666667,44.4,43.666666666666664,43.03333333333333,41.9,45.93333333333333,45.6,46.96666666666667,45.36666666666667,46.166666666666664,45.233333333333334,46.3,45.766666666666666,43.46666666666667,46.86666666666667,45.93333333333333,45.733333333333334,47.36666666666667,44.46666666666667,42.333333333333336,43.766666666666666,42.333333333333336,43.96666666666667,44.46666666666667,45.233333333333334,46.63333333333333,44.4,43.96666666666667,42.666666666666664,42.96666666666667,44.266666666666666,45.63333333333333,46.56666666666666
42.2,41.833333333333336,42.3,40.56666666666666,42.666666666666664,45.833333333333336,44.4,48.13333333333333,46.6,45.06666666666666,45.8,42.03333333333333,44.5,43.96666666666667,43.766666666666666,45.53333333333333,42.9,45.9,45.93333333333333,44.53333333333333,42.93333333333333,43.666666666666664,43.06666666666666,45.86666666666667,46.3,46.96666666666667,45.333333333333336,45.43333333333333,42.733333333333334,43.3,45.733333333333334,43.1,45.733333333333334,46.3,43.833333333333336,44.166666666666664,45.9,43.53333333333333,44.03333333333333,42.46666666666667
45.2,46.266666666666666,44.06666666666666,45.63333333333333,44.2,44.766666666666666,47.766666666666666,47.233333333333334,47.833333333333336,46.7,43.13333333333333,43.733333333333334,48.56666666666666,44.733333333333334,47.63333333333333,45.13333333333333,44.1,44.13333333333333,45.666666666666664,45.166666666666664,45.86666666666667,46.8,45.4,44.06666666666666,45.56666666666666,47.266666666666666,45.13333333333333,44.03333333333333,43.93333333333333,43.63333333333333,44.833333333333336,42.8,47.4,46.6,45.43333333333333,45.93333333333333,44.63333333333333,39.766666666666666,41.2,41.1
48.8,43.5,44.5,46.13333333333333,45.3,44.4,49.233333333333334,44.2,45.166666666666664,45.9,46.96666666666667,45.6,45.0,44.3,42.333333333333336,43.36666666666667,47.06666666666666,44.5,47.2,42.56666666666666,42.43333333333333,43.46666666666667,42.56666666666666,44.13333333333333,42.96666666666667,40.733333333333334,39.733333333333334,45.833333333333336,42.06666666666666,44.266666666666666,37.233333333333334,42.96666666666667,44.53333333333333,45.2,45.06666666666666,42.8,44.86666666666667,45.13333333333333,45.8,46.56666666666666
46.166666666666664,44.53333333333333,44.13333333333333,44.86666666666667,47.733333333333334,44.63333333333333,45.166666666666664,45.36666666666667,45.4,46.8,45.46666666666667,45.766666666666666,46.93333333333333,45.733333333333334,46.5,43.1,42.166666666666664,46.766666666666666,44.733333333333334,45.3,44.233333333333334,44.333333333333336,42.7,38.56666666666666,42.166666666666664,44.0,44.5,44.7,43.733333333333334,45.4,44.1,45.03333333333333,45.53333333333333,48.7,44.833333333333336,45.333333333333336,45.3,46.733333333333334,44.53333333333333,43.7
49.36666666666667,46.93333333333333,44.666666666666664,44.2,42.8,44.93333333333333,44.8,42.63333333333333,41.53333333333333,41.8,40.56666666666666,42.2,45.8,44.4,44.0,43.6,45.6,43.233333333333334,44.46666666666667,43.666666666666664,42.733333333333334,38.766666666666666,40.766666666666666,39.666666666666664,42.666666666666664,42.6,40.53333333333333,41.13333333333333,42.86666666666667,44.3,43.0,46.2,43.13333333333333,42.96666666666667,45.766666666666666,42.5,43.7,45.36666666666667,42.36666666666667,42.666666666666664
47.6,43.43333333333333,45.36666666666667,45.13333333333333,47.96666666666667,47.03333333333333,44.53333333333333,43.733333333333334,45.8,45.06666666666666,47.5,46.36666666666667,49.53333333333333,46.56666666666666,45.93333333333333,47.5,46.03333333333333,45.46666666666667,38.53333333333333,36.36666666666667,36.4,38.53333333333333,36.7,39.86666666666667,37.63333333333333,36.266666666666666,35.03333333333333,39.3,43.733333333333334,41.86666666666667,45.233333333333334,43.43333333333333,43.666666666666664,45.333333333333336,43.36666666666667,43.9,45.233333333333334,43.4,45.63333333333333,46.46666666666667
